program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day
Mathematics,unknown,no,yes,no,male,neither,no,50,23:58,Friends
Econometrics and Operations Research,no,no,yes,no,female,no idea,no,1,22:30,Coffee
Econometrics and Operations Research,no,no,yes,no,female,no idea,no,1,22:30,Fun
Business Analytics,yes,no,yes,yes,female,fat,no,2,22:10,Food
Business Analytics,yes,no,yes,yes,female,fat,no,2,22:10,Fun
Econometrics and Operations Research,no,no,yes,unknown,male,fat,no,0.25,00:30,Weather
Econometrics and Operations Research,no,no,yes,unknown,male,fat,no,0.25,00:30,Fun
Computer Science,no,yes,yes,yes,male,no idea,no,0.25,00:00,Weather
Computer Science,no,yes,yes,yes,male,no idea,no,0.25,00:00,Fun
Business Analytics,yes,yes,yes,yes,male,no idea,no,7,23:00,Beer
Business Analytics,yes,yes,yes,yes,male,no idea,no,7,23:00,Sex
Business Analytics,yes,yes,yes,yes,male,fat,no,0,01:00,Food
Business Analytics,yes,yes,yes,yes,male,fat,no,0,01:00,Sex
Business Analytics,yes,yes,yes,yes,unknown,neither,no,0.25,23:30,Free time
Business Analytics,yes,yes,yes,yes,unknown,neither,no,0.25,23:30,Sex
Artificial Intelligence,yes,yes,yes,yes,male,no idea,no,50,03:30,Friends
Artificial Intelligence,yes,yes,yes,yes,male,no idea,no,50,03:30,Sex
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,0.25,04:40,Coffee
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,0.25,04:40,Sleep
Computer Science,no,no,yes,yes,male,fat,unknown,10,01:30,Coffee
Computer Science,no,no,yes,yes,male,fat,unknown,10,01:30,Sleep
Business Analytics,yes,yes,yes,yes,male,fat,no,1,23:05,Coffee
Business Analytics,yes,yes,yes,yes,male,fat,no,1,23:05,Sleep
Computer Science,yes,yes,yes,yes,male,fat,no,40,23:00,Food
Computer Science,yes,yes,yes,yes,male,fat,no,40,23:00,Sleep
Econometrics and Operations Research,yes,yes,yes,yes,male,no idea,no,100,23:30,Food
Econometrics and Operations Research,yes,yes,yes,yes,male,no idea,no,100,23:30,Sleep
Artificial Intelligence,no,yes,yes,yes,female,fat,no,100,01:00,Food
Artificial Intelligence,no,yes,yes,yes,female,fat,no,100,01:00,Sleep
Business Analytics,yes,yes,yes,yes,male,fat,no,0.25,00:30,Food
Business Analytics,yes,yes,yes,yes,male,fat,no,0.25,00:30,Sleep
PhD,no,no,yes,no,male,neither,no,0.25,23:30,Food
PhD,no,no,yes,no,male,neither,no,0.25,23:30,Sleep
Computer Science,no,no,yes,yes,male,slim,no,100,22:00,Food
Computer Science,no,no,yes,yes,male,slim,no,100,22:00,Sleep
Artificial Intelligence,yes,yes,yes,yes,female,neither,no,0.25,01:00,Food
Artificial Intelligence,yes,yes,yes,yes,female,neither,no,0.25,01:00,Sleep
Bioinformatics and Systems Biology,yes,no,no,no,male,neither,no,0.25,01:30,Free time
Bioinformatics and Systems Biology,yes,no,no,no,male,neither,no,0.25,01:30,Sleep
Physics,no,yes,yes,no,male,neither,no,0.4,01:30,Friends
Physics,no,yes,yes,no,male,neither,no,0.4,01:30,Sleep
Business Analytics,yes,yes,yes,yes,male,slim,no,85,00:30,Sex
Business Analytics,yes,yes,yes,yes,male,slim,no,85,00:30,Sleep
Computer Science,no,yes,yes,no,male,neither,no,1,22:30,Sleep
Computer Science,no,yes,yes,no,male,neither,no,1,22:30,Sleep
Econometrics and Operations Research,no,no,yes,no,male,no idea,no,1,unknown,TV
Econometrics and Operations Research,no,no,yes,no,male,no idea,no,1,unknown,Sleep
Business Analytics,yes,yes,yes,yes,male,no idea,no,10,23:00,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,no,10,23:00,Sleep
Finance,no,no,yes,no,male,neither,no,0.05,01:00,Work
Finance,no,no,yes,no,male,neither,no,0.05,01:00,Sleep
Business Analytics,yes,yes,yes,yes,female,fat,no,30,23:30,Work
Business Analytics,yes,yes,yes,yes,female,fat,no,30,23:30,Sleep
Artificial Intelligence,yes,yes,yes,yes,male,neither,no,1,03:00,Beer
Artificial Intelligence,yes,yes,yes,yes,male,neither,no,1,03:00,Sports
Computer Science,no,no,yes,yes,male,no idea,no,25,03:00,Food
Computer Science,no,no,yes,yes,male,no idea,no,25,03:00,Sports
Business Analytics,yes,yes,no,yes,male,neither,no,unknown,23:00,Food
Business Analytics,yes,yes,no,yes,male,neither,no,unknown,23:00,Sports
Artificial Intelligence,yes,no,yes,no,male,neither,no,10,00:40,Food
Artificial Intelligence,yes,no,yes,no,male,neither,no,10,00:40,Sports
Business Analytics,yes,no,yes,no,male,neither,no,0.3,23:30,Free time
Business Analytics,yes,no,yes,no,male,neither,no,0.3,23:30,Sports
Computer Science,yes,yes,yes,yes,male,fat,no,0.4,02:30,Sex
Computer Science,yes,yes,yes,yes,male,fat,no,0.4,02:30,Sports
Artificial Intelligence,yes,yes,yes,yes,female,fat,no,0.5,23:30,Sleep
Artificial Intelligence,yes,yes,yes,yes,female,fat,no,0.5,23:30,Sports
Computational Science,yes,no,yes,yes,female,fat,no,0.05,01:00,Sleep
Computational Science,yes,no,yes,yes,female,fat,no,0.05,01:00,Sports
Artificial Intelligence,no,no,yes,no,male,fat,no,50,03:00,Sleep
Artificial Intelligence,no,no,yes,no,male,fat,no,50,03:00,Sports
Business Analytics,yes,no,yes,no,male,fat,no,5,01:30,Sleep
Business Analytics,yes,no,yes,no,male,fat,no,5,01:30,Sports
Finance,no,no,yes,yes,male,fat,no,1,01:00,Food
Finance,no,no,yes,yes,male,fat,no,1,01:00,TV
Business Analytics,yes,yes,yes,yes,female,no idea,yes,100,01:30,Sleep
Business Analytics,yes,yes,yes,yes,female,no idea,yes,100,01:30,TV
Artificial Intelligence,yes,yes,no,no,male,no idea,yes,1,12:30,Work
Artificial Intelligence,yes,yes,no,no,male,no idea,yes,1,12:30,TV
Artificial Intelligence,yes,no,yes,yes,male,fat,no,20,23:00,Coffee
Artificial Intelligence,yes,no,yes,yes,male,fat,no,20,23:00,unknown
Computer Science,no,no,no,no,male,slim,unknown,0.37,23:16,Food
Computer Science,no,no,no,no,male,slim,unknown,0.37,23:16,unknown
Econometrics and Operations Research,no,no,yes,no,male,fat,no,0.33,01:30,Food
Econometrics and Operations Research,no,no,yes,no,male,fat,no,0.33,01:30,unknown
Computer Science,no,yes,yes,no,male,fat,no,1,01:00,Food
Computer Science,no,yes,yes,no,male,fat,no,1,01:00,unknown
Econometrics and Operations Research,yes,no,yes,no,male,no idea,no,99,08:00,Food
Econometrics and Operations Research,yes,no,yes,no,male,no idea,no,99,08:00,unknown
Finance,no,no,yes,no,male,neither,no,0.5,01:30,Free time
Finance,no,no,yes,no,male,neither,no,0.5,01:30,unknown
Econometrics and Operations Research,no,no,yes,no,male,fat,no,2,02:00,Free time
Econometrics and Operations Research,no,no,yes,no,male,fat,no,2,02:00,unknown
Econometrics and Operations Research,yes,yes,yes,yes,unknown,no idea,unknown,1,23:00,Free time
Econometrics and Operations Research,yes,yes,yes,yes,unknown,no idea,unknown,1,23:00,unknown
Artificial Intelligence,no,no,no,yes,male,no idea,no,100,23:59,Fun
Artificial Intelligence,no,no,no,yes,male,no idea,no,100,23:59,unknown
Artificial Intelligence,no,yes,yes,no,male,no idea,no,0.25,23:45,unknown
Artificial Intelligence,no,yes,yes,no,male,no idea,no,0.25,23:45,unknown
Artificial Intelligence,yes,yes,yes,yes,male,no idea,yes,100,01:00,Sex
Artificial Intelligence,yes,yes,yes,yes,male,no idea,yes,100,01:00,unknown
Business Analytics,yes,yes,yes,yes,male,fat,no,100,23:15,Sex
Business Analytics,yes,yes,yes,yes,male,fat,no,100,23:15,unknown
PhD,yes,no,yes,yes,male,fat,no,0.25,23:00,Sex
PhD,yes,no,yes,yes,male,fat,no,0.25,23:00,unknown
Business Analytics,yes,yes,yes,yes,male,neither,no,5,00:00,Sleep
Business Analytics,yes,yes,yes,yes,male,neither,no,5,00:00,unknown
Business Analytics,yes,yes,no,yes,male,unknown,unknown,25,04:00,unknown
Business Analytics,yes,yes,no,yes,male,unknown,unknown,25,04:00,unknown
Artificial Intelligence,no,no,yes,no,male,neither,no,27,02:00,unknown
Artificial Intelligence,no,no,yes,no,male,neither,no,27,02:00,unknown
Business Analytics,yes,yes,yes,yes,male,no idea,no,0,00:30,unknown
Business Analytics,yes,yes,yes,yes,male,no idea,no,0,00:30,unknown
Computational Science,yes,no,no,no,male,neither,no,0,04:30,unknown
Computational Science,yes,no,no,no,male,neither,no,0,04:30,unknown
Economics,no,no,yes,no,female,neither,no,0.25,23:00,unknown
Economics,no,no,yes,no,female,neither,no,0.25,23:00,unknown
Artificial Intelligence,yes,yes,yes,no,male,no idea,no,6,02:00,unknown
Artificial Intelligence,yes,yes,yes,no,male,no idea,no,6,02:00,unknown
Finance,no,no,yes,no,male,neither,no,5,01:30,unknown
Finance,no,no,yes,no,male,neither,no,5,01:30,unknown
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,1,00:13,Weather
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,1,00:13,unknown
Artificial Intelligence,yes,yes,yes,yes,female,no idea,no,50,23:14,Weather
Artificial Intelligence,yes,yes,yes,yes,female,no idea,no,50,23:14,unknown
Artificial Intelligence,yes,yes,yes,yes,female,no idea,no,0.3,02:00,Weather
Artificial Intelligence,yes,yes,yes,yes,female,no idea,no,0.3,02:00,unknown
Econometrics and Operations Research,no,no,yes,no,female,fat,no,0,11:50,Weather
Econometrics and Operations Research,no,no,yes,no,female,fat,no,0,11:50,unknown
Finance,no,no,yes,no,male,fat,no,5,00:30,Weather
Finance,no,no,yes,no,male,fat,no,5,00:30,unknown
Computational Science,yes,unknown,yes,yes,male,neither,no,80,03:00,Work
Computational Science,yes,unknown,yes,yes,male,neither,no,80,03:00,unknown
Artificial Intelligence,no,no,yes,yes,male,no idea,no,5,01:15,Animals
Artificial Intelligence,no,no,yes,yes,male,no idea,no,5,01:15,Weather
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.5,23:30,Animals
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.5,23:30,Weather
Finance,no,no,yes,no,male,no idea,no,14,03:30,Coffee
Finance,no,no,yes,no,male,no idea,no,14,03:30,Weather
Human Movement Science,no,no,yes,no,female,no idea,no,0.4,00:30,Coffee
Human Movement Science,no,no,yes,no,female,no idea,no,0.4,00:30,Weather
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,20,01:34,Coffee
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,20,01:34,Weather
Artificial Intelligence,yes,no,yes,no,male,no idea,no,15,23:00,Coffee
Artificial Intelligence,yes,no,yes,no,male,no idea,no,15,23:00,Weather
Econometrics and Operations Research,no,no,yes,no,female,no idea,yes,0.003,00:00,Coffee
Econometrics and Operations Research,no,no,yes,no,female,no idea,yes,0.003,00:00,Weather
Business Analytics,yes,yes,yes,yes,female,fat,no,25,23:15,Food
Business Analytics,yes,yes,yes,yes,female,fat,no,25,23:15,Weather
Bioinformatics and Systems Biology,yes,yes,yes,yes,female,neither,no,0.3,23:30,Food
Bioinformatics and Systems Biology,yes,yes,yes,yes,female,neither,no,0.3,23:30,Weather
Bioinformatics and Systems Biology,no,no,yes,no,female,fat,no,0.25,23:30,Food
Bioinformatics and Systems Biology,no,no,yes,no,female,fat,no,0.25,23:30,Weather
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,0.5,00:00,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,0.5,00:00,Weather
Artificial Intelligence,no,no,yes,no,male,neither,no,3,02:00,Free time
Artificial Intelligence,no,no,yes,no,male,neither,no,3,02:00,Weather
Artificial Intelligence,yes,yes,yes,no,female,fat,no,0.25,02:00,Friends
Artificial Intelligence,yes,yes,yes,no,female,fat,no,0.25,02:00,Weather
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.4,03:00,Friends
Artificial Intelligence,no,no,yes,no,female,no idea,no,0.4,03:00,Weather
Business Analytics,yes,yes,yes,yes,male,neither,no,42,00:00,Fun
Business Analytics,yes,yes,yes,yes,male,neither,no,42,00:00,Weather
PhD,no,no,yes,no,female,fat,no,1,10:30,Sleep
PhD,no,no,yes,no,female,fat,no,1,10:30,Weather
Business Analytics,yes,no,yes,no,male,neither,no,0.25,00:00,Sleep
Business Analytics,yes,no,yes,no,male,neither,no,0.25,00:00,Weather
Computational Science,no,no,no,no,male,slim,no,0.34,02:00,TV
Computational Science,no,no,no,no,male,slim,no,0.34,02:00,Weather
Computer Science,no,no,yes,yes,male,neither,no,1,01:00,unknown
Computer Science,no,no,yes,yes,male,neither,no,1,01:00,Weather
Finance,no,no,yes,yes,male,no idea,no,5,00:01,Weather
Finance,no,no,yes,yes,male,no idea,no,5,00:01,Weather
Econometrics and Operations Research,no,no,yes,no,male,neither,no,0.25,01:00,Weather
Econometrics and Operations Research,no,no,yes,no,male,neither,no,0.25,01:00,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,01:00,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,01:00,Weather
Artificial Intelligence,yes,yes,no,yes,female,fat,no,50,00:25,Weather
Artificial Intelligence,yes,yes,no,yes,female,fat,no,50,00:25,Weather
Computational Science,yes,yes,yes,no,male,neither,no,20,01:30,Coffee
Computational Science,yes,yes,yes,no,male,neither,no,20,01:30,Work
Bioinformatics and Systems Biology,yes,no,no,no,male,fat,no,1,23:59,Food
Bioinformatics and Systems Biology,yes,no,no,no,male,fat,no,1,23:59,Work
Computer Science,no,no,yes,yes,male,neither,no,0.25,01:48,Food
Computer Science,no,no,yes,yes,male,neither,no,0.25,01:48,Work
Business Analytics,yes,yes,yes,yes,male,neither,no,0.456,01:12,Food
Business Analytics,yes,yes,yes,yes,male,neither,no,0.456,01:12,Work
Econometrics and Operations Research,no,no,yes,unknown,female,fat,no,4,01:00,Free time
Econometrics and Operations Research,no,no,yes,unknown,female,fat,no,4,01:00,Work
Bioinformatics and Systems Biology,no,no,yes,yes,male,slim,no,100,02:00,unknown
Bioinformatics and Systems Biology,no,no,yes,yes,male,slim,no,100,02:00,Work
Artificial Intelligence,yes,yes,no,no,male,fat,no,100,00:30,Sleep
Artificial Intelligence,yes,yes,no,no,male,fat,no,100,00:30,Work
Artificial Intelligence,yes,no,yes,yes,male,neither,no,1,00:00,Sleep
Artificial Intelligence,yes,no,yes,yes,male,neither,no,1,00:00,Work
Bioinformatics and Systems Biology,no,no,yes,yes,male,no idea,no,3,00:00,Sleep
Bioinformatics and Systems Biology,no,no,yes,yes,male,no idea,no,3,00:00,Work
Computational Science,no,no,yes,no,male,no idea,no,10,23:30,Sports
Computational Science,no,no,yes,no,male,no idea,no,10,23:30,Work
Computational Science,yes,no,yes,yes,female,fat,yes,2,01:15,Sports
Computational Science,yes,no,yes,yes,female,fat,yes,2,01:15,Work
Artificial Intelligence,no,no,unknown,unknown,female,neither,unknown,0,22:47,Weather
Artificial Intelligence,no,no,unknown,unknown,female,neither,unknown,0,22:47,Work
Computer Science,no,no,unknown,yes,male,no idea,yes,unknown,01:00,Work
Computer Science,no,no,unknown,yes,male,no idea,yes,unknown,01:00,Work
Computer Science,yes,no,yes,yes,male,neither,no,100,02:00,Work
Computer Science,yes,no,yes,yes,male,neither,no,100,02:00,Work
